                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    131,                0.66062,                0.38773,                0.92729,                0.77836,                0.78859,                0.80725,                0.65146,                0.80717,                0.64487,                0.99885,             7.4692e-05,             7.4692e-05,             7.4692e-05
                    132,                0.66022,                0.38461,                0.92324,                0.77281,                0.78804,                0.80673,                0.64989,                0.80648,                 0.6466,                0.99876,              7.122e-05,              7.122e-05,              7.122e-05
                    133,                0.65899,                  0.384,                0.92231,                0.78021,                0.76948,                  0.807,                0.64958,                0.80453,                0.64799,                0.99779,             6.7749e-05,             6.7749e-05,             6.7749e-05
                    134,                0.65813,                0.38396,                0.92526,                 0.7822,                0.76879,                0.80389,                0.64828,                0.80387,                0.64881,                0.99688,             6.4277e-05,             6.4277e-05,             6.4277e-05
                    135,                0.65681,                 0.3841,                0.92067,                0.77844,                0.79019,                0.80893,                0.65256,                0.80326,                0.64919,                0.99666,             6.0806e-05,             6.0806e-05,             6.0806e-05
                    136,                0.65169,                0.38124,                0.92199,                0.79634,                0.78617,                0.81017,                0.65305,                0.80328,                0.64874,                 0.9968,             5.7334e-05,             5.7334e-05,             5.7334e-05
                    137,                0.65081,                0.37873,                0.92143,                0.79425,                0.77516,                0.81016,                0.65252,                0.80506,                0.65023,                0.99757,             5.3862e-05,             5.3862e-05,             5.3862e-05
                    138,                0.65353,                 0.3819,                0.92038,                 0.7877,                0.78799,                0.80845,                0.65268,                0.80515,                0.65007,                0.99772,             5.0391e-05,             5.0391e-05,             5.0391e-05
                    139,                0.64907,                0.37653,                 0.9173,                0.79107,                0.77809,                0.80663,                0.65218,                0.80749,                0.65259,                0.99854,             4.6919e-05,             4.6919e-05,             4.6919e-05
                    140,                0.64556,                0.37647,                0.91861,                0.77591,                0.78257,                0.80582,                0.65111,                0.80738,                  0.653,                0.99874,             4.3448e-05,             4.3448e-05,             4.3448e-05
